"sigma (Pa)","vtkValidPointMask","vtkGhostType"
6.62686e-03,1,0
6.46127e-03,1,0
6.29568e-03,1,0
6.13009e-03,1,0
5.96450e-03,1,0
5.79891e-03,1,0
5.63331e-03,1,0
5.46772e-03,1,0
5.30213e-03,1,0
5.13654e-03,1,0
4.97095e-03,1,0
4.80536e-03,1,0
4.63977e-03,1,0
4.47417e-03,1,0
4.30858e-03,1,0
4.14299e-03,1,0
3.97740e-03,1,0
3.81181e-03,1,0
3.64622e-03,1,0
3.48062e-03,1,0
3.31503e-03,1,0
3.14944e-03,1,0
2.98385e-03,1,0
2.81826e-03,1,0
2.65267e-03,1,0
2.48708e-03,1,0
2.32148e-03,1,0
2.15589e-03,1,0
1.99030e-03,1,0
1.82471e-03,1,0
1.65912e-03,1,0
1.49353e-03,1,0
1.46633e-03,1,0
1.47108e-03,1,0
1.47582e-03,1,0
1.48056e-03,1,0
1.48530e-03,1,0
1.49005e-03,1,0
1.49479e-03,1,0
1.49953e-03,1,0
1.50428e-03,1,0
1.50902e-03,1,0
1.51376e-03,1,0
1.51851e-03,1,0
1.52325e-03,1,0
1.52799e-03,1,0
1.53274e-03,1,0
1.53748e-03,1,0
1.54222e-03,1,0
1.54696e-03,1,0
1.55171e-03,1,0
1.55645e-03,1,0
1.56119e-03,1,0
1.56594e-03,1,0
1.57068e-03,1,0
1.57542e-03,1,0
1.58017e-03,1,0
1.58491e-03,1,0
1.58965e-03,1,0
1.59440e-03,1,0
1.59914e-03,1,0
1.60388e-03,1,0
1.60862e-03,1,0
1.60531e-03,1,0
1.59717e-03,1,0
1.58903e-03,1,0
1.58088e-03,1,0
1.57274e-03,1,0
1.56460e-03,1,0
1.55645e-03,1,0
1.54831e-03,1,0
1.54017e-03,1,0
1.53203e-03,1,0
1.52388e-03,1,0
1.51574e-03,1,0
1.50760e-03,1,0
1.49945e-03,1,0
1.49131e-03,1,0
1.48317e-03,1,0
1.47502e-03,1,0
1.46688e-03,1,0
1.45874e-03,1,0
1.45059e-03,1,0
1.44245e-03,1,0
1.43431e-03,1,0
1.42616e-03,1,0
1.41802e-03,1,0
1.40988e-03,1,0
1.40174e-03,1,0
1.39359e-03,1,0
1.38545e-03,1,0
1.37731e-03,1,0
1.36916e-03,1,0
1.36102e-03,1,0
1.35172e-03,1,0
1.34092e-03,1,0
1.33013e-03,1,0
1.31934e-03,1,0
1.30855e-03,1,0
1.29775e-03,1,0
1.28696e-03,1,0
1.27617e-03,1,0
1.26538e-03,1,0
1.25459e-03,1,0
1.24379e-03,1,0
1.23300e-03,1,0
1.22221e-03,1,0
1.21142e-03,1,0
1.20062e-03,1,0
1.18983e-03,1,0
1.17904e-03,1,0
1.16825e-03,1,0
1.15745e-03,1,0
1.14666e-03,1,0
1.13587e-03,1,0
1.12508e-03,1,0
1.11428e-03,1,0
1.10349e-03,1,0
1.09270e-03,1,0
1.08191e-03,1,0
1.07111e-03,1,0
1.06032e-03,1,0
1.04953e-03,1,0
1.03874e-03,1,0
1.02794e-03,1,0
1.01830e-03,1,0
1.01212e-03,1,0
1.00594e-03,1,0
9.99752e-04,1,0
9.93569e-04,1,0
9.87385e-04,1,0
9.81201e-04,1,0
9.75017e-04,1,0
9.68834e-04,1,0
9.62650e-04,1,0
9.56466e-04,1,0
9.50283e-04,1,0
9.44099e-04,1,0
9.37915e-04,1,0
9.31731e-04,1,0
9.25548e-04,1,0
9.19364e-04,1,0
9.13180e-04,1,0
