"sigma (Pa)","vtkValidPointMask","vtkGhostType"
3.67976e-02,1,0
3.58781e-02,1,0
3.49586e-02,1,0
3.40391e-02,1,0
3.31196e-02,1,0
3.22001e-02,1,0
3.12806e-02,1,0
3.03612e-02,1,0
2.94417e-02,1,0
2.85222e-02,1,0
2.76027e-02,1,0
2.66832e-02,1,0
2.57637e-02,1,0
2.48442e-02,1,0
2.39247e-02,1,0
2.30052e-02,1,0
2.20857e-02,1,0
2.11662e-02,1,0
2.02467e-02,1,0
1.93272e-02,1,0
1.84077e-02,1,0
1.74882e-02,1,0
1.65687e-02,1,0
1.56492e-02,1,0
1.47297e-02,1,0
1.38102e-02,1,0
1.28907e-02,1,0
1.19712e-02,1,0
1.10517e-02,1,0
1.01322e-02,1,0
9.21275e-03,1,0
8.29325e-03,1,0
8.14224e-03,1,0
8.16858e-03,1,0
8.19492e-03,1,0
8.22126e-03,1,0
8.24759e-03,1,0
8.27393e-03,1,0
8.30027e-03,1,0
8.32660e-03,1,0
8.35294e-03,1,0
8.37928e-03,1,0
8.40562e-03,1,0
8.43195e-03,1,0
8.45829e-03,1,0
8.48463e-03,1,0
8.51097e-03,1,0
8.53730e-03,1,0
8.56364e-03,1,0
8.58998e-03,1,0
8.61632e-03,1,0
8.64265e-03,1,0
8.66899e-03,1,0
8.69533e-03,1,0
8.72167e-03,1,0
8.74800e-03,1,0
8.77434e-03,1,0
8.80068e-03,1,0
8.82702e-03,1,0
8.85335e-03,1,0
8.87969e-03,1,0
8.90603e-03,1,0
8.93237e-03,1,0
8.91398e-03,1,0
8.86876e-03,1,0
8.82355e-03,1,0
8.77833e-03,1,0
8.73311e-03,1,0
8.68789e-03,1,0
8.64268e-03,1,0
8.59746e-03,1,0
8.55224e-03,1,0
8.50703e-03,1,0
8.46181e-03,1,0
8.41659e-03,1,0
8.37137e-03,1,0
8.32616e-03,1,0
8.28094e-03,1,0
8.23572e-03,1,0
8.19050e-03,1,0
8.14529e-03,1,0
8.10007e-03,1,0
8.05485e-03,1,0
8.00964e-03,1,0
7.96442e-03,1,0
7.91920e-03,1,0
7.87398e-03,1,0
7.82877e-03,1,0
7.78355e-03,1,0
7.73833e-03,1,0
7.69311e-03,1,0
7.64790e-03,1,0
7.60268e-03,1,0
7.55746e-03,1,0
7.50581e-03,1,0
7.44588e-03,1,0
7.38595e-03,1,0
7.32603e-03,1,0
7.26610e-03,1,0
7.20617e-03,1,0
7.14624e-03,1,0
7.08631e-03,1,0
7.02638e-03,1,0
6.96646e-03,1,0
6.90653e-03,1,0
6.84660e-03,1,0
6.78667e-03,1,0
6.72674e-03,1,0
6.66681e-03,1,0
6.60689e-03,1,0
6.54696e-03,1,0
6.48703e-03,1,0
6.42710e-03,1,0
6.36717e-03,1,0
6.30725e-03,1,0
6.24732e-03,1,0
6.18739e-03,1,0
6.12746e-03,1,0
6.06753e-03,1,0
6.00760e-03,1,0
5.94768e-03,1,0
5.88775e-03,1,0
5.82782e-03,1,0
5.76789e-03,1,0
5.70796e-03,1,0
5.65443e-03,1,0
5.62010e-03,1,0
5.58576e-03,1,0
5.55142e-03,1,0
5.51708e-03,1,0
5.48275e-03,1,0
5.44841e-03,1,0
5.41407e-03,1,0
5.37974e-03,1,0
5.34540e-03,1,0
5.31106e-03,1,0
5.27673e-03,1,0
5.24239e-03,1,0
5.20805e-03,1,0
5.17371e-03,1,0
