"sigma (Pa)","vtkValidPointMask","vtkGhostType"
4.62389e-02,1,0
4.50835e-02,1,0
4.39280e-02,1,0
4.27726e-02,1,0
4.16172e-02,1,0
4.04618e-02,1,0
3.93064e-02,1,0
3.81510e-02,1,0
3.69956e-02,1,0
3.58402e-02,1,0
3.46847e-02,1,0
3.35293e-02,1,0
3.23739e-02,1,0
3.12185e-02,1,0
3.00631e-02,1,0
2.89077e-02,1,0
2.77523e-02,1,0
2.65968e-02,1,0
2.54414e-02,1,0
2.42860e-02,1,0
2.31306e-02,1,0
2.19752e-02,1,0
2.08198e-02,1,0
1.96644e-02,1,0
1.85090e-02,1,0
1.73535e-02,1,0
1.61981e-02,1,0
1.50427e-02,1,0
1.38873e-02,1,0
1.27319e-02,1,0
1.15765e-02,1,0
1.04211e-02,1,0
1.02313e-02,1,0
1.02644e-02,1,0
1.02975e-02,1,0
1.03306e-02,1,0
1.03637e-02,1,0
1.03968e-02,1,0
1.04299e-02,1,0
1.04630e-02,1,0
1.04961e-02,1,0
1.05292e-02,1,0
1.05623e-02,1,0
1.05954e-02,1,0
1.06285e-02,1,0
1.06615e-02,1,0
1.06946e-02,1,0
1.07277e-02,1,0
1.07608e-02,1,0
1.07939e-02,1,0
1.08270e-02,1,0
1.08601e-02,1,0
1.08932e-02,1,0
1.09263e-02,1,0
1.09594e-02,1,0
1.09925e-02,1,0
1.10256e-02,1,0
1.10587e-02,1,0
1.10918e-02,1,0
1.11249e-02,1,0
1.11580e-02,1,0
1.11911e-02,1,0
1.12242e-02,1,0
1.12011e-02,1,0
1.11442e-02,1,0
1.10874e-02,1,0
1.10306e-02,1,0
1.09738e-02,1,0
1.09170e-02,1,0
1.08601e-02,1,0
1.08033e-02,1,0
1.07465e-02,1,0
1.06897e-02,1,0
1.06329e-02,1,0
1.05761e-02,1,0
1.05192e-02,1,0
1.04624e-02,1,0
1.04056e-02,1,0
1.03488e-02,1,0
1.02920e-02,1,0
1.02351e-02,1,0
1.01783e-02,1,0
1.01215e-02,1,0
1.00647e-02,1,0
1.00079e-02,1,0
9.95105e-03,1,0
9.89423e-03,1,0
9.83741e-03,1,0
9.78059e-03,1,0
9.72377e-03,1,0
9.66695e-03,1,0
9.61014e-03,1,0
9.55332e-03,1,0
9.49650e-03,1,0
9.43159e-03,1,0
9.35629e-03,1,0
9.28098e-03,1,0
9.20568e-03,1,0
9.13038e-03,1,0
9.05507e-03,1,0
8.97977e-03,1,0
8.90446e-03,1,0
8.82916e-03,1,0
8.75385e-03,1,0
8.67855e-03,1,0
8.60325e-03,1,0
8.52794e-03,1,0
8.45264e-03,1,0
8.37733e-03,1,0
8.30203e-03,1,0
8.22673e-03,1,0
8.15142e-03,1,0
8.07612e-03,1,0
8.00081e-03,1,0
7.92551e-03,1,0
7.85020e-03,1,0
7.77490e-03,1,0
7.69960e-03,1,0
7.62429e-03,1,0
7.54899e-03,1,0
7.47368e-03,1,0
7.39838e-03,1,0
7.32308e-03,1,0
7.24777e-03,1,0
7.17247e-03,1,0
7.10520e-03,1,0
7.06206e-03,1,0
7.01891e-03,1,0
6.97576e-03,1,0
6.93261e-03,1,0
6.88947e-03,1,0
6.84632e-03,1,0
6.80317e-03,1,0
6.76003e-03,1,0
6.71688e-03,1,0
6.67373e-03,1,0
6.63059e-03,1,0
6.58744e-03,1,0
6.54429e-03,1,0
6.50115e-03,1,0
6.45800e-03,1,0
6.41485e-03,1,0
6.37170e-03,1,0
6.32856e-03,1,0
6.28541e-03,1,0
6.24226e-03,1,0
6.19912e-03,1,0
6.15597e-03,1,0
6.11282e-03,1,0
6.06968e-03,1,0
6.02653e-03,1,0
5.98338e-03,1,0
5.94024e-03,1,0
5.89709e-03,1,0
5.85394e-03,1,0
5.81080e-03,1,0
5.76638e-03,1,0
5.70302e-03,1,0
5.63966e-03,1,0
5.57630e-03,1,0
5.51294e-03,1,0
