"sigma (Pa)","vtkValidPointMask","vtkGhostType"
4.26029e-03,1,0
4.15384e-03,1,0
4.04738e-03,1,0
3.94093e-03,1,0
3.83447e-03,1,0
3.72801e-03,1,0
3.62156e-03,1,0
3.51510e-03,1,0
3.40865e-03,1,0
3.30219e-03,1,0
3.19574e-03,1,0
3.08928e-03,1,0
2.98282e-03,1,0
2.87637e-03,1,0
2.76991e-03,1,0
2.66346e-03,1,0
2.55700e-03,1,0
2.45054e-03,1,0
2.34409e-03,1,0
2.23763e-03,1,0
2.13118e-03,1,0
2.02472e-03,1,0
1.91826e-03,1,0
1.81181e-03,1,0
1.70535e-03,1,0
1.59890e-03,1,0
1.49244e-03,1,0
1.38599e-03,1,0
1.27953e-03,1,0
1.17307e-03,1,0
1.06662e-03,1,0
9.60162e-04,1,0
9.42679e-04,1,0
9.45728e-04,1,0
9.48778e-04,1,0
9.51827e-04,1,0
9.54876e-04,1,0
9.57925e-04,1,0
9.60975e-04,1,0
9.64024e-04,1,0
9.67073e-04,1,0
9.70122e-04,1,0
9.73172e-04,1,0
9.76221e-04,1,0
9.79270e-04,1,0
9.82319e-04,1,0
9.85369e-04,1,0
9.88418e-04,1,0
9.91467e-04,1,0
9.94516e-04,1,0
9.97566e-04,1,0
1.00061e-03,1,0
1.00366e-03,1,0
1.00671e-03,1,0
1.00976e-03,1,0
1.01281e-03,1,0
1.01586e-03,1,0
1.01891e-03,1,0
1.02196e-03,1,0
1.02501e-03,1,0
1.02806e-03,1,0
1.03111e-03,1,0
1.03416e-03,1,0
1.03203e-03,1,0
1.02679e-03,1,0
1.02156e-03,1,0
1.01632e-03,1,0
1.01109e-03,1,0
1.00585e-03,1,0
1.00062e-03,1,0
9.95382e-04,1,0
9.90147e-04,1,0
9.84912e-04,1,0
9.79677e-04,1,0
9.74442e-04,1,0
9.69207e-04,1,0
9.63972e-04,1,0
9.58737e-04,1,0
9.53502e-04,1,0
9.48267e-04,1,0
9.43032e-04,1,0
9.37797e-04,1,0
9.32561e-04,1,0
9.27326e-04,1,0
9.22091e-04,1,0
9.16856e-04,1,0
9.11621e-04,1,0
9.06386e-04,1,0
9.01151e-04,1,0
8.95916e-04,1,0
8.90681e-04,1,0
8.85446e-04,1,0
8.80211e-04,1,0
8.74975e-04,1,0
8.68995e-04,1,0
8.62057e-04,1,0
8.55119e-04,1,0
8.48180e-04,1,0
8.41242e-04,1,0
8.34304e-04,1,0
8.27366e-04,1,0
8.20427e-04,1,0
8.13489e-04,1,0
8.06551e-04,1,0
7.99612e-04,1,0
7.92674e-04,1,0
7.85736e-04,1,0
7.78798e-04,1,0
7.71859e-04,1,0
7.64921e-04,1,0
7.57983e-04,1,0
7.51045e-04,1,0
7.44106e-04,1,0
7.37168e-04,1,0
7.30230e-04,1,0
7.23291e-04,1,0
7.16353e-04,1,0
7.09415e-04,1,0
7.02477e-04,1,0
6.95538e-04,1,0
6.88600e-04,1,0
6.81662e-04,1,0
6.74724e-04,1,0
6.67785e-04,1,0
6.60847e-04,1,0
6.54649e-04,1,0
6.50674e-04,1,0
