"sigma (Pa)","vtkValidPointMask","vtkGhostType"
7.94558e-03,1,0
7.74703e-03,1,0
7.54849e-03,1,0
7.34995e-03,1,0
7.15140e-03,1,0
6.95286e-03,1,0
6.75432e-03,1,0
6.55577e-03,1,0
6.35723e-03,1,0
6.15869e-03,1,0
5.96014e-03,1,0
5.76160e-03,1,0
5.56306e-03,1,0
5.36451e-03,1,0
5.16597e-03,1,0
4.96743e-03,1,0
4.76888e-03,1,0
4.57034e-03,1,0
4.37180e-03,1,0
4.17325e-03,1,0
3.97471e-03,1,0
3.77616e-03,1,0
3.57762e-03,1,0
3.37908e-03,1,0
3.18053e-03,1,0
2.98199e-03,1,0
2.78345e-03,1,0
2.58490e-03,1,0
2.38636e-03,1,0
2.18782e-03,1,0
1.98927e-03,1,0
1.79073e-03,1,0
1.75812e-03,1,0
1.76381e-03,1,0
1.76950e-03,1,0
1.77519e-03,1,0
1.78087e-03,1,0
1.78656e-03,1,0
1.79225e-03,1,0
1.79793e-03,1,0
1.80362e-03,1,0
1.80931e-03,1,0
1.81499e-03,1,0
1.82068e-03,1,0
1.82637e-03,1,0
1.83205e-03,1,0
1.83774e-03,1,0
1.84343e-03,1,0
1.84912e-03,1,0
1.85480e-03,1,0
1.86049e-03,1,0
1.86618e-03,1,0
1.87186e-03,1,0
1.87755e-03,1,0
1.88324e-03,1,0
1.88892e-03,1,0
1.89461e-03,1,0
1.90030e-03,1,0
1.90599e-03,1,0
1.91167e-03,1,0
1.91736e-03,1,0
1.92305e-03,1,0
1.92873e-03,1,0
1.92476e-03,1,0
1.91500e-03,1,0
1.90524e-03,1,0
1.89547e-03,1,0
1.88571e-03,1,0
1.87595e-03,1,0
1.86618e-03,1,0
1.85642e-03,1,0
1.84665e-03,1,0
1.83689e-03,1,0
1.82713e-03,1,0
1.81736e-03,1,0
1.80760e-03,1,0
1.79784e-03,1,0
1.78807e-03,1,0
1.77831e-03,1,0
1.76855e-03,1,0
1.75878e-03,1,0
1.74902e-03,1,0
1.73925e-03,1,0
1.72949e-03,1,0
1.71973e-03,1,0
1.70996e-03,1,0
1.70020e-03,1,0
1.69044e-03,1,0
1.68067e-03,1,0
1.67091e-03,1,0
1.66115e-03,1,0
1.65138e-03,1,0
1.64162e-03,1,0
1.63186e-03,1,0
1.62070e-03,1,0
1.60776e-03,1,0
1.59482e-03,1,0
1.58188e-03,1,0
1.56894e-03,1,0
1.55600e-03,1,0
1.54306e-03,1,0
1.53012e-03,1,0
1.51718e-03,1,0
1.50424e-03,1,0
1.49130e-03,1,0
1.47836e-03,1,0
1.46542e-03,1,0
1.45248e-03,1,0
1.43954e-03,1,0
1.42660e-03,1,0
1.41366e-03,1,0
1.40072e-03,1,0
1.38778e-03,1,0
1.37484e-03,1,0
1.36190e-03,1,0
1.34896e-03,1,0
1.33602e-03,1,0
1.32308e-03,1,0
1.31014e-03,1,0
1.29720e-03,1,0
1.28426e-03,1,0
1.27132e-03,1,0
1.25838e-03,1,0
1.24544e-03,1,0
1.23250e-03,1,0
1.22094e-03,1,0
1.21353e-03,1,0
1.20611e-03,1,0
1.19870e-03,1,0
1.19128e-03,1,0
1.18387e-03,1,0
1.17646e-03,1,0
1.16904e-03,1,0
1.16163e-03,1,0
1.15421e-03,1,0
1.14680e-03,1,0
1.13938e-03,1,0
1.13197e-03,1,0
1.12456e-03,1,0
1.11714e-03,1,0
1.10973e-03,1,0
1.10231e-03,1,0
1.09490e-03,1,0
1.08748e-03,1,0
1.08007e-03,1,0
1.07266e-03,1,0
1.06524e-03,1,0
1.05783e-03,1,0
1.05041e-03,1,0
1.04300e-03,1,0
1.03558e-03,1,0
1.02817e-03,1,0
1.02076e-03,1,0
1.01334e-03,1,0
1.00593e-03,1,0
9.98513e-04,1,0
9.90882e-04,1,0
9.79994e-04,1,0
9.69106e-04,1,0
9.58218e-04,1,0
9.47330e-04,1,0
9.36443e-04,1,0
9.25555e-04,1,0
9.14667e-04,1,0
9.03779e-04,1,0
8.92891e-04,1,0
8.82004e-04,1,0
8.71116e-04,1,0
8.60228e-04,1,0
8.49340e-04,1,0
8.38453e-04,1,0
8.27565e-04,1,0
8.16677e-04,1,0
8.05789e-04,1,0
7.94901e-04,1,0
7.84014e-04,1,0
7.73126e-04,1,0
7.62238e-04,1,0
7.51350e-04,1,0
7.40462e-04,1,0
7.29575e-04,1,0
7.18687e-04,1,0
7.07799e-04,1,0
6.96911e-04,1,0
6.86023e-04,1,0
6.75136e-04,1,0
6.64248e-04,1,0
6.53360e-04,1,0
6.43447e-04,1,0
6.33673e-04,1,0
6.23899e-04,1,0
6.14125e-04,1,0
6.04351e-04,1,0
5.94577e-04,1,0
5.84803e-04,1,0
5.75030e-04,1,0
5.65256e-04,1,0
