"sigma (Pa)","vtkValidPointMask","vtkGhostType"
7.98627e-03,1,0
7.78671e-03,1,0
7.58715e-03,1,0
7.38759e-03,1,0
7.18803e-03,1,0
6.98847e-03,1,0
6.78891e-03,1,0
6.58935e-03,1,0
6.38979e-03,1,0
6.19023e-03,1,0
5.99067e-03,1,0
5.79111e-03,1,0
5.59155e-03,1,0
5.39199e-03,1,0
5.19242e-03,1,0
4.99286e-03,1,0
4.79330e-03,1,0
4.59374e-03,1,0
4.39418e-03,1,0
4.19462e-03,1,0
3.99506e-03,1,0
3.79550e-03,1,0
3.59594e-03,1,0
3.39638e-03,1,0
3.19682e-03,1,0
2.99726e-03,1,0
2.79770e-03,1,0
2.59814e-03,1,0
2.39858e-03,1,0
2.19902e-03,1,0
1.99946e-03,1,0
1.79990e-03,1,0
1.76713e-03,1,0
1.77284e-03,1,0
1.77856e-03,1,0
1.78428e-03,1,0
1.78999e-03,1,0
1.79571e-03,1,0
1.80142e-03,1,0
1.80714e-03,1,0
1.81286e-03,1,0
1.81857e-03,1,0
1.82429e-03,1,0
1.83001e-03,1,0
1.83572e-03,1,0
1.84144e-03,1,0
1.84715e-03,1,0
1.85287e-03,1,0
1.85859e-03,1,0
1.86430e-03,1,0
1.87002e-03,1,0
1.87573e-03,1,0
1.88145e-03,1,0
1.88717e-03,1,0
1.89288e-03,1,0
1.89860e-03,1,0
1.90431e-03,1,0
1.91003e-03,1,0
1.91575e-03,1,0
1.92146e-03,1,0
1.92718e-03,1,0
1.93289e-03,1,0
1.93861e-03,1,0
1.93462e-03,1,0
1.92481e-03,1,0
1.91499e-03,1,0
1.90518e-03,1,0
1.89537e-03,1,0
1.88555e-03,1,0
1.87574e-03,1,0
1.86593e-03,1,0
1.85611e-03,1,0
1.84630e-03,1,0
1.83648e-03,1,0
1.82667e-03,1,0
1.81686e-03,1,0
1.80704e-03,1,0
1.79723e-03,1,0
1.78742e-03,1,0
1.77760e-03,1,0
1.76779e-03,1,0
1.75798e-03,1,0
1.74816e-03,1,0
1.73835e-03,1,0
1.72853e-03,1,0
1.71872e-03,1,0
1.70891e-03,1,0
1.69909e-03,1,0
1.68928e-03,1,0
1.67947e-03,1,0
1.66965e-03,1,0
1.65984e-03,1,0
1.65003e-03,1,0
1.64021e-03,1,0
1.62900e-03,1,0
1.61600e-03,1,0
1.60299e-03,1,0
1.58998e-03,1,0
1.57698e-03,1,0
1.56397e-03,1,0
1.55096e-03,1,0
1.53796e-03,1,0
1.52495e-03,1,0
1.51194e-03,1,0
1.49894e-03,1,0
1.48593e-03,1,0
1.47293e-03,1,0
1.45992e-03,1,0
1.44691e-03,1,0
1.43391e-03,1,0
1.42090e-03,1,0
1.40789e-03,1,0
1.39489e-03,1,0
1.38188e-03,1,0
1.36887e-03,1,0
1.35587e-03,1,0
1.34286e-03,1,0
1.32986e-03,1,0
1.31685e-03,1,0
1.30384e-03,1,0
1.29084e-03,1,0
1.27783e-03,1,0
1.26482e-03,1,0
1.25182e-03,1,0
1.23881e-03,1,0
1.22719e-03,1,0
1.21974e-03,1,0
1.21229e-03,1,0
1.20484e-03,1,0
1.19738e-03,1,0
1.18993e-03,1,0
1.18248e-03,1,0
1.17503e-03,1,0
1.16758e-03,1,0
1.16012e-03,1,0
1.15267e-03,1,0
1.14522e-03,1,0
1.13777e-03,1,0
1.13031e-03,1,0
1.12286e-03,1,0
1.11541e-03,1,0
1.10796e-03,1,0
1.10051e-03,1,0
1.09305e-03,1,0
1.08560e-03,1,0
1.07815e-03,1,0
1.07070e-03,1,0
1.06324e-03,1,0
1.05579e-03,1,0
1.04834e-03,1,0
1.04089e-03,1,0
1.03344e-03,1,0
1.02598e-03,1,0
1.01853e-03,1,0
1.01108e-03,1,0
1.00363e-03,1,0
9.95956e-04,1,0
9.85013e-04,1,0
9.74069e-04,1,0
9.63126e-04,1,0
9.52182e-04,1,0
9.41238e-04,1,0
9.30295e-04,1,0
9.19351e-04,1,0
9.08408e-04,1,0
8.97464e-04,1,0
8.86521e-04,1,0
8.75577e-04,1,0
8.64634e-04,1,0
8.53690e-04,1,0
8.42746e-04,1,0
8.31803e-04,1,0
8.20859e-04,1,0
8.09916e-04,1,0
7.98972e-04,1,0
7.88029e-04,1,0
7.77085e-04,1,0
7.66142e-04,1,0
7.55198e-04,1,0
7.44254e-04,1,0
7.33311e-04,1,0
7.22367e-04,1,0
7.11424e-04,1,0
7.00480e-04,1,0
6.89537e-04,1,0
6.78593e-04,1,0
6.67649e-04,1,0
6.56706e-04,1,0
6.46742e-04,1,0
6.36918e-04,1,0
6.27094e-04,1,0
6.17270e-04,1,0
6.07446e-04,1,0
5.97622e-04,1,0
5.87798e-04,1,0
5.77974e-04,1,0
5.68150e-04,1,0
5.58327e-04,1,0
5.48503e-04,1,0
5.38679e-04,1,0
5.28855e-04,1,0
5.19031e-04,1,0
5.09207e-04,1,0
4.99383e-04,1,0
4.89559e-04,1,0
4.79735e-04,1,0
4.69911e-04,1,0
4.60087e-04,1,0
4.50263e-04,1,0
4.40439e-04,1,0
4.30615e-04,1,0
4.20791e-04,1,0
4.10967e-04,1,0
4.01143e-04,1,0
3.91320e-04,1,0
3.81496e-04,1,0
3.71672e-04,1,0
3.61848e-04,1,0
3.52024e-04,1,0
3.42328e-04,1,0
3.32690e-04,1,0
3.23052e-04,1,0
3.13414e-04,1,0
3.03776e-04,1,0
2.94138e-04,1,0
2.84500e-04,1,0
2.74863e-04,1,0
2.65225e-04,1,0
2.55587e-04,1,0
2.45949e-04,1,0
2.36311e-04,1,0
2.26673e-04,1,0
2.17035e-04,1,0
2.07397e-04,1,0
1.97759e-04,1,0
1.88122e-04,1,0
1.78484e-04,1,0
1.68846e-04,1,0
1.59208e-04,1,0
1.49570e-04,1,0
1.39932e-04,1,0
1.30294e-04,1,0
1.20656e-04,1,0
1.11018e-04,1,0
1.01381e-04,1,0
9.17427e-05,1,0
8.21048e-05,1,0
7.24669e-05,1,0
6.28291e-05,1,0
5.31912e-05,1,0
4.28483e-05,1,0
3.18004e-05,1,0
2.07526e-05,1,0
9.70471e-06,1,0
-1.34315e-06,1,0
-1.23910e-05,1,0
-2.34389e-05,1,0
-3.44867e-05,1,0
-4.55346e-05,1,0
-5.65825e-05,1,0
-6.76303e-05,1,0
-7.86782e-05,1,0
-8.97260e-05,1,0
-1.00774e-04,1,0
-1.11822e-04,1,0
-1.22870e-04,1,0
-1.33917e-04,1,0
-1.44965e-04,1,0
-1.56013e-04,1,0
-1.67061e-04,1,0
-1.78109e-04,1,0
-1.89157e-04,1,0
-2.00205e-04,1,0
-2.11253e-04,1,0
-2.22300e-04,1,0
-2.33348e-04,1,0
-2.44396e-04,1,0
-2.55444e-04,1,0
-2.66492e-04,1,0
-2.77540e-04,1,0
-2.88588e-04,1,0
-2.99314e-04,1,0
-3.09334e-04,1,0
-3.19353e-04,1,0
-3.29373e-04,1,0
-3.39393e-04,1,0
-3.49413e-04,1,0
-3.59432e-04,1,0
-3.69452e-04,1,0
-3.79472e-04,1,0
-3.89491e-04,1,0
-3.99511e-04,1,0
-4.09531e-04,1,0
-4.19550e-04,1,0
-4.29570e-04,1,0
-4.39590e-04,1,0
-4.49609e-04,1,0
-4.59629e-04,1,0
-4.69649e-04,1,0
-4.79668e-04,1,0
-4.89688e-04,1,0
-4.99708e-04,1,0
-5.09727e-04,1,0
-5.19747e-04,1,0
-5.29767e-04,1,0
-5.39786e-04,1,0
-5.49806e-04,1,0
-5.59826e-04,1,0
-5.69845e-04,1,0
-5.79865e-04,1,0
-5.89885e-04,1,0
-5.99905e-04,1,0
-6.09977e-04,1,0
-6.20421e-04,1,0
-6.30865e-04,1,0
-6.41309e-04,1,0
-6.51752e-04,1,0
-6.62196e-04,1,0
-6.72640e-04,1,0
-6.83084e-04,1,0
-6.93527e-04,1,0
-7.03971e-04,1,0
-7.14415e-04,1,0
-7.24859e-04,1,0
-7.35302e-04,1,0
-7.45746e-04,1,0
-7.56190e-04,1,0
-7.66634e-04,1,0
-7.77078e-04,1,0
-7.87521e-04,1,0
-7.97965e-04,1,0
-8.08409e-04,1,0
-8.18853e-04,1,0
-8.29296e-04,1,0
-8.39740e-04,1,0
-8.50184e-04,1,0
-8.60628e-04,1,0
-8.71071e-04,1,0
-8.81515e-04,1,0
-8.91959e-04,1,0
-9.02403e-04,1,0
-9.12847e-04,1,0
-9.23290e-04,1,0
-9.33734e-04,1,0
-9.41338e-04,1,0
-9.48752e-04,1,0
-9.56166e-04,1,0
-9.63581e-04,1,0
-9.70995e-04,1,0
-9.78410e-04,1,0
-9.85824e-04,1,0
-9.93238e-04,1,0
-1.00065e-03,1,0
-1.00807e-03,1,0
-1.01548e-03,1,0
-1.02290e-03,1,0
-1.03031e-03,1,0
-1.03772e-03,1,0
-1.04514e-03,1,0
-1.05255e-03,1,0
-1.05997e-03,1,0
-1.06738e-03,1,0
-1.07480e-03,1,0
-1.08221e-03,1,0
-1.08962e-03,1,0
-1.09704e-03,1,0
-1.10445e-03,1,0
-1.11187e-03,1,0
-1.11928e-03,1,0
-1.12670e-03,1,0
-1.13411e-03,1,0
-1.14153e-03,1,0
-1.14894e-03,1,0
-1.15635e-03,1,0
-1.16377e-03,1,0
-1.17412e-03,1,0
-1.18545e-03,1,0
-1.19677e-03,1,0
-1.20810e-03,1,0
-1.21943e-03,1,0
-1.23076e-03,1,0
-1.24209e-03,1,0
-1.25341e-03,1,0
-1.26474e-03,1,0
-1.27607e-03,1,0
-1.28740e-03,1,0
-1.29873e-03,1,0
-1.31005e-03,1,0
-1.32138e-03,1,0
-1.33271e-03,1,0
-1.34404e-03,1,0
-1.35536e-03,1,0
-1.36669e-03,1,0
-1.37802e-03,1,0
-1.38935e-03,1,0
-1.40068e-03,1,0
-1.41200e-03,1,0
-1.42333e-03,1,0
-1.43466e-03,1,0
-1.44599e-03,1,0
-1.45732e-03,1,0
-1.46864e-03,1,0
-1.47997e-03,1,0
-1.49130e-03,1,0
-1.50263e-03,1,0
-1.51396e-03,1,0
-1.52251e-03,1,0
-1.52890e-03,1,0
-1.53529e-03,1,0
-1.54168e-03,1,0
-1.54807e-03,1,0
-1.55446e-03,1,0
-1.56085e-03,1,0
-1.56724e-03,1,0
-1.57363e-03,1,0
-1.58002e-03,1,0
-1.58641e-03,1,0
-1.59280e-03,1,0
-1.59919e-03,1,0
-1.60558e-03,1,0
-1.61197e-03,1,0
-1.61836e-03,1,0
-1.62475e-03,1,0
-1.63114e-03,1,0
-1.63753e-03,1,0
-1.64392e-03,1,0
-1.65031e-03,1,0
-1.65670e-03,1,0
-1.66309e-03,1,0
-1.66949e-03,1,0
-1.67588e-03,1,0
-1.68227e-03,1,0
-1.68866e-03,1,0
-1.69505e-03,1,0
-1.70144e-03,1,0
-1.70783e-03,1,0
-1.71422e-03,1,0
-1.72048e-03,1,0
-1.72654e-03,1,0
-1.73260e-03,1,0
-1.73866e-03,1,0
-1.74472e-03,1,0
-1.75078e-03,1,0
-1.75684e-03,1,0
-1.76290e-03,1,0
-1.76896e-03,1,0
-1.77502e-03,1,0
-1.78108e-03,1,0
-1.78714e-03,1,0
-1.79320e-03,1,0
-1.79926e-03,1,0
-1.80532e-03,1,0
-1.81138e-03,1,0
-1.81743e-03,1,0
-1.82349e-03,1,0
-1.82955e-03,1,0
-1.83561e-03,1,0
-1.84167e-03,1,0
-1.84773e-03,1,0
-1.85379e-03,1,0
-1.85985e-03,1,0
-1.86591e-03,1,0
-1.87197e-03,1,0
-1.87803e-03,1,0
-1.88409e-03,1,0
-1.89015e-03,1,0
-1.89621e-03,1,0
-1.90227e-03,1,0
-1.93937e-03,1,0
-2.11099e-03,1,0
-2.28262e-03,1,0
-2.45424e-03,1,0
-2.62587e-03,1,0
-2.79749e-03,1,0
-2.96911e-03,1,0
-3.14074e-03,1,0
-3.31236e-03,1,0
-3.48399e-03,1,0
-3.65561e-03,1,0
-3.82723e-03,1,0
-3.99886e-03,1,0
-4.17048e-03,1,0
-4.34211e-03,1,0
-4.51373e-03,1,0
-4.68535e-03,1,0
-4.85698e-03,1,0
-5.02860e-03,1,0
-5.20023e-03,1,0
-5.37185e-03,1,0
-5.54347e-03,1,0
-5.71510e-03,1,0
-5.88672e-03,1,0
-6.05835e-03,1,0
-6.22997e-03,1,0
-6.40160e-03,1,0
-6.57322e-03,1,0
-6.74484e-03,1,0
-6.91647e-03,1,0
-7.08809e-03,1,0
-7.25972e-03,1,0
-2.18204e-08,1,0
-1.65529e-08,1,0
-1.12853e-08,1,0
-6.01780e-09,1,0
-7.50262e-10,1,0
4.51728e-09,1,0
9.78482e-09,1,0
1.50524e-08,1,0
2.03199e-08,1,0
2.55874e-08,1,0
3.08550e-08,1,0
3.61225e-08,1,0
4.13900e-08,1,0
4.66576e-08,1,0
5.19251e-08,1,0
5.71927e-08,1,0
6.24602e-08,1,0
6.77277e-08,1,0
7.29953e-08,1,0
7.82628e-08,1,0
8.35304e-08,1,0
8.87979e-08,1,0
9.40654e-08,1,0
9.93330e-08,1,0
1.04601e-07,1,0
1.09868e-07,1,0
1.15136e-07,1,0
1.20403e-07,1,0
1.25671e-07,1,0
1.30938e-07,1,0
1.28281e-07,1,0
1.23720e-07,1,0
1.19159e-07,1,0
1.14598e-07,1,0
1.11165e-07,1,0
1.09178e-07,1,0
1.07191e-07,1,0
1.05204e-07,1,0
1.03216e-07,1,0
1.00467e-07,1,0
9.39721e-08,1,0
