"sigma (Pa)","vtkValidPointMask","vtkGhostType"
4.62167e-02,1,0
4.50619e-02,1,0
4.39070e-02,1,0
4.27522e-02,1,0
4.15973e-02,1,0
4.04424e-02,1,0
3.92876e-02,1,0
3.81327e-02,1,0
3.69779e-02,1,0
3.58230e-02,1,0
3.46681e-02,1,0
3.35133e-02,1,0
3.23584e-02,1,0
3.12036e-02,1,0
3.00487e-02,1,0
2.88938e-02,1,0
2.77390e-02,1,0
2.65841e-02,1,0
2.54293e-02,1,0
2.42744e-02,1,0
2.31195e-02,1,0
2.19647e-02,1,0
2.08098e-02,1,0
1.96550e-02,1,0
1.85001e-02,1,0
1.73452e-02,1,0
1.61904e-02,1,0
1.50355e-02,1,0
1.38807e-02,1,0
1.27258e-02,1,0
1.15709e-02,1,0
1.04161e-02,1,0
1.02264e-02,1,0
1.02595e-02,1,0
1.02926e-02,1,0
1.03257e-02,1,0
1.03587e-02,1,0
1.03918e-02,1,0
1.04249e-02,1,0
1.04580e-02,1,0
1.04911e-02,1,0
1.05241e-02,1,0
1.05572e-02,1,0
1.05903e-02,1,0
1.06234e-02,1,0
1.06564e-02,1,0
1.06895e-02,1,0
1.07226e-02,1,0
1.07557e-02,1,0
1.07888e-02,1,0
1.08218e-02,1,0
1.08549e-02,1,0
1.08880e-02,1,0
1.09211e-02,1,0
1.09542e-02,1,0
1.09872e-02,1,0
1.10203e-02,1,0
1.10534e-02,1,0
1.10865e-02,1,0
1.11196e-02,1,0
1.11526e-02,1,0
1.11857e-02,1,0
1.12188e-02,1,0
1.11957e-02,1,0
1.11389e-02,1,0
1.10821e-02,1,0
1.10253e-02,1,0
1.09685e-02,1,0
1.09117e-02,1,0
1.08550e-02,1,0
1.07982e-02,1,0
1.07414e-02,1,0
1.06846e-02,1,0
1.06278e-02,1,0
1.05710e-02,1,0
1.05142e-02,1,0
1.04574e-02,1,0
1.04006e-02,1,0
1.03438e-02,1,0
1.02870e-02,1,0
1.02302e-02,1,0
1.01735e-02,1,0
1.01167e-02,1,0
1.00599e-02,1,0
1.00031e-02,1,0
9.94629e-03,1,0
9.88950e-03,1,0
9.83270e-03,1,0
9.77591e-03,1,0
9.71912e-03,1,0
9.66233e-03,1,0
9.60554e-03,1,0
9.54875e-03,1,0
9.49195e-03,1,0
9.42708e-03,1,0
9.35181e-03,1,0
9.27654e-03,1,0
9.20128e-03,1,0
9.12601e-03,1,0
9.05074e-03,1,0
8.97547e-03,1,0
8.90020e-03,1,0
8.82493e-03,1,0
8.74967e-03,1,0
8.67440e-03,1,0
8.59913e-03,1,0
8.52386e-03,1,0
8.44859e-03,1,0
8.37333e-03,1,0
8.29806e-03,1,0
8.22279e-03,1,0
8.14752e-03,1,0
8.07225e-03,1,0
7.99699e-03,1,0
7.92172e-03,1,0
7.84645e-03,1,0
7.77118e-03,1,0
7.69591e-03,1,0
7.62064e-03,1,0
7.54538e-03,1,0
7.47011e-03,1,0
7.39484e-03,1,0
7.31957e-03,1,0
7.24430e-03,1,0
7.16904e-03,1,0
7.10180e-03,1,0
