"sigma (Pa)","vtkValidPointMask","vtkGhostType"
1.87196e-02,1,0
1.82519e-02,1,0
1.77841e-02,1,0
1.73163e-02,1,0
1.68486e-02,1,0
1.63808e-02,1,0
1.59130e-02,1,0
1.54453e-02,1,0
1.49775e-02,1,0
1.45098e-02,1,0
1.40420e-02,1,0
1.35742e-02,1,0
1.31065e-02,1,0
1.26387e-02,1,0
1.21709e-02,1,0
1.17032e-02,1,0
1.12354e-02,1,0
1.07676e-02,1,0
1.02999e-02,1,0
9.83211e-03,1,0
9.36434e-03,1,0
8.89658e-03,1,0
8.42881e-03,1,0
7.96105e-03,1,0
7.49328e-03,1,0
7.02552e-03,1,0
6.55775e-03,1,0
6.08999e-03,1,0
5.62222e-03,1,0
5.15446e-03,1,0
4.68669e-03,1,0
4.21893e-03,1,0
4.14211e-03,1,0
4.15551e-03,1,0
4.16891e-03,1,0
4.18231e-03,1,0
4.19570e-03,1,0
4.20910e-03,1,0
4.22250e-03,1,0
4.23590e-03,1,0
4.24930e-03,1,0
4.26270e-03,1,0
4.27609e-03,1,0
4.28949e-03,1,0
4.30289e-03,1,0
4.31629e-03,1,0
4.32969e-03,1,0
4.34309e-03,1,0
4.35648e-03,1,0
4.36988e-03,1,0
4.38328e-03,1,0
4.39668e-03,1,0
4.41008e-03,1,0
4.42348e-03,1,0
4.43687e-03,1,0
4.45027e-03,1,0
4.46367e-03,1,0
4.47707e-03,1,0
4.49047e-03,1,0
4.50387e-03,1,0
4.51726e-03,1,0
4.53066e-03,1,0
4.54406e-03,1,0
4.53471e-03,1,0
4.51171e-03,1,0
4.48870e-03,1,0
4.46570e-03,1,0
4.44270e-03,1,0
4.41969e-03,1,0
4.39669e-03,1,0
4.37369e-03,1,0
4.35069e-03,1,0
4.32768e-03,1,0
4.30468e-03,1,0
4.28168e-03,1,0
4.25867e-03,1,0
4.23567e-03,1,0
4.21267e-03,1,0
4.18967e-03,1,0
4.16666e-03,1,0
4.14366e-03,1,0
4.12066e-03,1,0
4.09765e-03,1,0
4.07465e-03,1,0
4.05165e-03,1,0
4.02865e-03,1,0
4.00564e-03,1,0
3.98264e-03,1,0
3.95964e-03,1,0
3.93663e-03,1,0
3.91363e-03,1,0
3.89063e-03,1,0
3.86763e-03,1,0
3.84462e-03,1,0
3.81835e-03,1,0
3.78786e-03,1,0
3.75737e-03,1,0
3.72689e-03,1,0
3.69640e-03,1,0
3.66591e-03,1,0
3.63543e-03,1,0
3.60494e-03,1,0
3.57445e-03,1,0
3.54397e-03,1,0
3.51348e-03,1,0
3.48299e-03,1,0
3.45251e-03,1,0
3.42202e-03,1,0
3.39153e-03,1,0
3.36105e-03,1,0
3.33056e-03,1,0
3.30007e-03,1,0
3.26959e-03,1,0
3.23910e-03,1,0
3.20861e-03,1,0
3.17813e-03,1,0
3.14764e-03,1,0
3.11715e-03,1,0
3.08667e-03,1,0
3.05618e-03,1,0
3.02569e-03,1,0
2.99521e-03,1,0
2.96472e-03,1,0
2.93423e-03,1,0
2.90375e-03,1,0
2.87651e-03,1,0
2.85905e-03,1,0
2.84158e-03,1,0
2.82411e-03,1,0
2.80664e-03,1,0
2.78918e-03,1,0
2.77171e-03,1,0
2.75424e-03,1,0
2.73677e-03,1,0
2.71930e-03,1,0
2.70184e-03,1,0
2.68437e-03,1,0
2.66690e-03,1,0
2.64943e-03,1,0
2.63196e-03,1,0
2.61450e-03,1,0
2.59703e-03,1,0
2.57956e-03,1,0
2.56209e-03,1,0
2.54463e-03,1,0
2.52716e-03,1,0
2.50969e-03,1,0
2.49222e-03,1,0
2.47475e-03,1,0
2.45729e-03,1,0
2.43982e-03,1,0
2.42235e-03,1,0
2.40488e-03,1,0
2.38741e-03,1,0
2.36995e-03,1,0
2.35248e-03,1,0
2.33450e-03,1,0
2.30885e-03,1,0
2.28320e-03,1,0
2.25755e-03,1,0
2.23189e-03,1,0
2.20624e-03,1,0
2.18059e-03,1,0
2.15494e-03,1,0
2.12929e-03,1,0
2.10364e-03,1,0
2.07798e-03,1,0
2.05233e-03,1,0
2.02668e-03,1,0
2.00103e-03,1,0
1.97538e-03,1,0
1.94973e-03,1,0
1.92408e-03,1,0
1.89842e-03,1,0
1.87277e-03,1,0
1.84712e-03,1,0
1.82147e-03,1,0
1.79582e-03,1,0
1.77017e-03,1,0
1.74452e-03,1,0
1.71886e-03,1,0
1.69321e-03,1,0
1.66756e-03,1,0
1.64191e-03,1,0
1.61626e-03,1,0
1.59061e-03,1,0
1.56496e-03,1,0
1.53930e-03,1,0
1.51595e-03,1,0
1.49292e-03,1,0
1.46989e-03,1,0
1.44687e-03,1,0
1.42384e-03,1,0
1.40081e-03,1,0
1.37779e-03,1,0
1.35476e-03,1,0
1.33173e-03,1,0
1.30871e-03,1,0
1.28568e-03,1,0
1.26265e-03,1,0
1.23962e-03,1,0
1.21660e-03,1,0
1.19357e-03,1,0
1.17054e-03,1,0
1.14752e-03,1,0
1.12449e-03,1,0
1.10146e-03,1,0
1.07843e-03,1,0
1.05541e-03,1,0
1.03238e-03,1,0
1.00935e-03,1,0
9.86326e-04,1,0
9.63299e-04,1,0
9.40272e-04,1,0
9.17244e-04,1,0
