"sigma (Pa)","vtkValidPointMask","vtkGhostType"
3.47274e-02,1,0
3.38597e-02,1,0
3.29919e-02,1,0
3.21241e-02,1,0
3.12564e-02,1,0
3.03886e-02,1,0
2.95208e-02,1,0
2.86531e-02,1,0
2.77853e-02,1,0
2.69175e-02,1,0
2.60498e-02,1,0
2.51820e-02,1,0
2.43142e-02,1,0
2.34465e-02,1,0
2.25787e-02,1,0
2.17109e-02,1,0
2.08432e-02,1,0
1.99754e-02,1,0
1.91076e-02,1,0
1.82399e-02,1,0
1.73721e-02,1,0
1.65043e-02,1,0
1.56366e-02,1,0
1.47688e-02,1,0
1.39010e-02,1,0
1.30333e-02,1,0
1.21655e-02,1,0
1.12977e-02,1,0
1.04300e-02,1,0
9.56221e-03,1,0
8.69445e-03,1,0
7.82668e-03,1,0
7.68417e-03,1,0
7.70902e-03,1,0
7.73388e-03,1,0
7.75874e-03,1,0
7.78359e-03,1,0
7.80845e-03,1,0
7.83330e-03,1,0
7.85816e-03,1,0
7.88301e-03,1,0
7.90787e-03,1,0
7.93273e-03,1,0
7.95758e-03,1,0
7.98244e-03,1,0
8.00729e-03,1,0
8.03215e-03,1,0
8.05700e-03,1,0
8.08186e-03,1,0
8.10672e-03,1,0
8.13157e-03,1,0
8.15643e-03,1,0
8.18128e-03,1,0
8.20614e-03,1,0
8.23099e-03,1,0
8.25585e-03,1,0
8.28071e-03,1,0
8.30556e-03,1,0
8.33042e-03,1,0
8.35527e-03,1,0
8.38013e-03,1,0
8.40498e-03,1,0
8.42984e-03,1,0
8.41249e-03,1,0
8.36982e-03,1,0
8.32714e-03,1,0
8.28447e-03,1,0
8.24180e-03,1,0
8.19912e-03,1,0
8.15645e-03,1,0
8.11378e-03,1,0
8.07110e-03,1,0
8.02843e-03,1,0
7.98576e-03,1,0
7.94308e-03,1,0
7.90041e-03,1,0
7.85774e-03,1,0
7.81506e-03,1,0
7.77239e-03,1,0
7.72972e-03,1,0
7.68704e-03,1,0
7.64437e-03,1,0
7.60169e-03,1,0
7.55902e-03,1,0
7.51635e-03,1,0
7.47367e-03,1,0
7.43100e-03,1,0
7.38833e-03,1,0
7.34565e-03,1,0
7.30298e-03,1,0
7.26031e-03,1,0
7.21763e-03,1,0
7.17496e-03,1,0
7.13229e-03,1,0
7.08354e-03,1,0
7.02698e-03,1,0
6.97043e-03,1,0
6.91387e-03,1,0
6.85731e-03,1,0
6.80076e-03,1,0
6.74420e-03,1,0
6.68764e-03,1,0
6.63109e-03,1,0
6.57453e-03,1,0
6.51797e-03,1,0
6.46142e-03,1,0
6.40486e-03,1,0
6.34830e-03,1,0
