"sigma (Pa)","vtkValidPointMask","vtkGhostType"
1.69807e-02,1,0
1.65564e-02,1,0
1.61321e-02,1,0
1.57078e-02,1,0
1.52835e-02,1,0
1.48592e-02,1,0
1.44348e-02,1,0
1.40105e-02,1,0
1.35862e-02,1,0
1.31619e-02,1,0
1.27376e-02,1,0
1.23133e-02,1,0
1.18890e-02,1,0
1.14647e-02,1,0
1.10403e-02,1,0
1.06160e-02,1,0
1.01917e-02,1,0
9.76741e-03,1,0
9.34309e-03,1,0
8.91878e-03,1,0
8.49447e-03,1,0
8.07015e-03,1,0
7.64584e-03,1,0
7.22153e-03,1,0
6.79721e-03,1,0
6.37290e-03,1,0
5.94859e-03,1,0
5.52428e-03,1,0
5.09996e-03,1,0
4.67565e-03,1,0
4.25134e-03,1,0
3.82702e-03,1,0
3.75734e-03,1,0
3.76949e-03,1,0
3.78165e-03,1,0
3.79380e-03,1,0
3.80596e-03,1,0
3.81811e-03,1,0
3.83026e-03,1,0
3.84242e-03,1,0
3.85457e-03,1,0
3.86672e-03,1,0
3.87888e-03,1,0
3.89103e-03,1,0
3.90319e-03,1,0
3.91534e-03,1,0
3.92749e-03,1,0
3.93965e-03,1,0
3.95180e-03,1,0
3.96395e-03,1,0
3.97611e-03,1,0
3.98826e-03,1,0
4.00041e-03,1,0
4.01257e-03,1,0
4.02472e-03,1,0
4.03688e-03,1,0
4.04903e-03,1,0
4.06118e-03,1,0
4.07334e-03,1,0
4.08549e-03,1,0
4.09764e-03,1,0
4.10980e-03,1,0
4.12195e-03,1,0
4.11347e-03,1,0
4.09260e-03,1,0
4.07174e-03,1,0
4.05087e-03,1,0
4.03000e-03,1,0
4.00914e-03,1,0
3.98827e-03,1,0
3.96741e-03,1,0
3.94654e-03,1,0
3.92567e-03,1,0
3.90481e-03,1,0
3.88394e-03,1,0
3.86308e-03,1,0
3.84221e-03,1,0
3.82134e-03,1,0
3.80048e-03,1,0
3.77961e-03,1,0
3.75875e-03,1,0
3.73788e-03,1,0
3.71701e-03,1,0
3.69615e-03,1,0
3.67528e-03,1,0
3.65441e-03,1,0
3.63355e-03,1,0
3.61268e-03,1,0
3.59182e-03,1,0
3.57095e-03,1,0
3.55008e-03,1,0
3.52922e-03,1,0
3.50835e-03,1,0
3.48749e-03,1,0
3.46365e-03,1,0
3.43600e-03,1,0
3.40834e-03,1,0
3.38069e-03,1,0
3.35303e-03,1,0
3.32538e-03,1,0
3.29772e-03,1,0
3.27007e-03,1,0
3.24241e-03,1,0
3.21476e-03,1,0
3.18710e-03,1,0
3.15945e-03,1,0
3.13179e-03,1,0
3.10414e-03,1,0
3.07649e-03,1,0
3.04883e-03,1,0
3.02118e-03,1,0
2.99352e-03,1,0
2.96587e-03,1,0
2.93821e-03,1,0
2.91056e-03,1,0
2.88290e-03,1,0
2.85525e-03,1,0
2.82759e-03,1,0
2.79994e-03,1,0
2.77228e-03,1,0
2.74463e-03,1,0
2.71698e-03,1,0
2.68932e-03,1,0
2.66167e-03,1,0
2.63401e-03,1,0
2.60931e-03,1,0
2.59346e-03,1,0
2.57762e-03,1,0
2.56177e-03,1,0
2.54593e-03,1,0
2.53008e-03,1,0
2.51424e-03,1,0
2.49839e-03,1,0
2.48255e-03,1,0
2.46670e-03,1,0
2.45086e-03,1,0
2.43501e-03,1,0
2.41917e-03,1,0
2.40332e-03,1,0
2.38748e-03,1,0
2.37163e-03,1,0
2.35579e-03,1,0
2.33994e-03,1,0
2.32409e-03,1,0
2.30825e-03,1,0
2.29240e-03,1,0
2.27656e-03,1,0
2.26071e-03,1,0
2.24487e-03,1,0
2.22902e-03,1,0
2.21318e-03,1,0
2.19733e-03,1,0
2.18149e-03,1,0
2.16564e-03,1,0
2.14980e-03,1,0
2.13395e-03,1,0
2.11764e-03,1,0
2.09437e-03,1,0
2.07111e-03,1,0
2.04784e-03,1,0
2.02457e-03,1,0
2.00130e-03,1,0
1.97803e-03,1,0
1.95476e-03,1,0
1.93149e-03,1,0
1.90822e-03,1,0
1.88496e-03,1,0
1.86169e-03,1,0
1.83842e-03,1,0
1.81515e-03,1,0
1.79188e-03,1,0
1.76861e-03,1,0
1.74534e-03,1,0
1.72208e-03,1,0
1.69881e-03,1,0
1.67554e-03,1,0
1.65227e-03,1,0
1.62900e-03,1,0
1.60573e-03,1,0
1.58246e-03,1,0
1.55920e-03,1,0
1.53593e-03,1,0
1.51266e-03,1,0
1.48939e-03,1,0
1.46612e-03,1,0
1.44285e-03,1,0
1.41958e-03,1,0
1.39631e-03,1,0
1.37513e-03,1,0
1.35424e-03,1,0
1.33335e-03,1,0
1.31246e-03,1,0
1.29158e-03,1,0
1.27069e-03,1,0
1.24980e-03,1,0
1.22891e-03,1,0
1.20802e-03,1,0
1.18714e-03,1,0
1.16625e-03,1,0
1.14536e-03,1,0
1.12447e-03,1,0
1.10358e-03,1,0
1.08270e-03,1,0
1.06181e-03,1,0
1.04092e-03,1,0
1.02003e-03,1,0
9.99144e-04,1,0
9.78256e-04,1,0
9.57368e-04,1,0
9.36480e-04,1,0
9.15592e-04,1,0
8.94704e-04,1,0
8.73816e-04,1,0
8.52928e-04,1,0
8.32040e-04,1,0
8.11151e-04,1,0
7.90263e-04,1,0
7.69375e-04,1,0
7.48487e-04,1,0
7.27871e-04,1,0
7.07379e-04,1,0
6.86886e-04,1,0
6.66394e-04,1,0
6.45901e-04,1,0
6.25409e-04,1,0
6.04916e-04,1,0
5.84424e-04,1,0
5.63931e-04,1,0
5.43439e-04,1,0
5.22947e-04,1,0
5.02454e-04,1,0
4.81962e-04,1,0
4.61469e-04,1,0
4.40977e-04,1,0
4.20484e-04,1,0
3.99992e-04,1,0
3.79499e-04,1,0
3.59007e-04,1,0
3.38514e-04,1,0
3.18022e-04,1,0
